node_id,x,y,z,module,root_id
229,575104,107584,144440,20,720575940604243902
230,561952,139424,172880,8,720575940604246304
231,611296,326752,51920,7,720575940604247985
232,420120,164316,174800,13,720575940604249790
233,438848,321632,195560,1,720575940604250214
234,684672,192000,62880,23,720575940604256102
235,721504,216000,69040,3,720575940604267622
236,350592,276640,114680,3,720575940604268134
237,708780,173288,130080,8,720575940604274534
238,666759,183545,52747,19,720575940604278705
239,662752,305952,69400,5,720575940604284337
240,537248,106112,45320,1,720575940604285105
241,635601,220347,92050,2,720575940604285356
242,661056,198560,41320,2,720575940604292710
243,423416,164532,174800,13,720575940604304561
244,633308,143508,96240,8,720575940604308401
245,401760,156704,219880,13,720575940604318129
246,638388,173116,143760,14,720575940604319078
247,340032,262272,124800,3,720575940604330854
248,474764,123430,164060,20,720575940604332460
249,663968,196638,158700,2,720575940604341216
250,579296,129024,164280,17,720575940604349630
251,577483,276687,24229,14,720575940604352172
252,608160,336064,68760,11,720575940604364134
253,536640,189728,33840,11,720575940604364222
254,625330,259498,113120,2,720575940604370604
255,593248,306880,54120,1,720575940604372070
256,364960,109952,182520,20,720575940604383008
257,695254,159540,99480,8,720575940604389344
258,425136,131958,90910,27,720575940604395436
259,394912,98112,178800,10,720575940604395622
260,519584,328992,217040,11,720575940604396209
261,346596,152744,152480,12,720575940604398816
262,474016,110912,181240,13,720575940604402092
263,605555,258681,55200,14,720575940604403628
264,521982,98212,131460,19,720575940604404425
265,616615,235835,29950,14,720575940604407468
266,618352,202628,204440,23,720575940604412192
267,586216,240958,59693,28,720575940604412588
268,437988,255542,75693,13,720575940604414636
269,565268,221507,131760,4,720575940604418988
270,564620,300872,50160,4,720575940604418993
271,373562,162852,130720,3,720575940604427180
272,478860,229542,47290,13,720575940604431584
273,401738,178452,106920,3,720575940604434092
274,433576,172564,76800,13,720575940604435046
275,396256,148608,209680,25,720575940604444081
276,386183,209828,80813,3,720575940604445868
277,481212,91044,137400,12,720575940604447148
278,334208,165920,137040,12,720575940604450732
279,621094,156496,145160,6,720575940604451505
280,422924,190036,92320,34,720575940604456108
281,509384,214160,190640,26,720575940604456364
282,413065,252918,201128,3,720575940604456876
283,602534,323440,68120,9,720575940604458668
284,433766,220778,178100,3,720575940604458720
285,449952,311072,63200,7,720575940604459697
286,463168,152224,214400,13,720575940604466912
287,608249,315939,93770,9,720575940604470240
288,541676,120156,86520,5,720575940604471473
289,617112,247664,67860,5,720575940604474028
290,541888,104288,59560,15,720575940604477100
291,638276,177564,143760,14,720575940604478176
292,451864,139804,51800,13,720575940604479590
293,643652,192504,212840,1,720575940604479660
294,445506,175164,80660,6,720575940604481760
295,448644,235380,182800,1,720575940604481964
296,630384,167112,143760,14,720575940604483040
297,513892,95160,57200,4,720575940604486880
298,648368,139688,148640,20,720575940604488672
299,634256,169616,143760,14,720575940604489649
300,444000,165376,218400,13,720575940604493024
301,425632,134368,215680,13,720575940604497888
302,566272,157336,172880,32,720575940604498208
303,472544,118816,189760,13,720575940604500448
304,515188,185107,157053,11,720575940604504748
305,399808,125920,206560,13,720575940604505278
306,440308,156896,174800,13,720575940604509374
307,556768,353824,196880,11,720575940604517809
308,561696,111072,162000,48,720575940604518432
309,488072,159068,179480,37,720575940604518944
310,354688,190784,169720,11,720575940604532913
311,543936,127904,149800,11,720575940604539825
312,483678,128463,56222,5,720575940604542176
313,652883,204859,187360,2,720575940604543968
314,448672,107488,189600,13,720575940604550590
315,465696,131328,203880,13,720575940604557792
316,582902,183766,190540,32,720575940604561766
317,510776,97208,52720,4,720575940604565350
318,642884,247684,21720,14,720575940604568521
319,698003,178229,97546,2,720575940604569824
320,646941,129397,96093,4,720575940604575712
321,434240,114144,194040,13,720575940604576689
322,665016,163984,176880,11,720575940604581152
323,694410,185970,185960,2,720575940604589856
324,667714,282404,112520,2,720575940604590304
325,384264,211724,194720,3,720575940604607689
326,365372,185518,107600,3,720575940604609504
327,588768,133440,157400,6,720575940604612832
328,721328,154204,170920,8,720575940604615014
