node_id,module,x,y,z,out_degree,pagerank,hodge,pca1,pca2,cluster
103,11,461089,227004,217280,31,0.0010747219760772,-0.2672929346909222,0.9322464996367212,-0.7312839554731466,0
104,8,650002,221522,197500,7,0.0004335333229057,-0.9681020127591816,0.8605611235067697,1.3905922424109352,5
105,3,383008,210128,194720,31,0.0001238041327683,-0.0324843404683021,0.9059408677654311,-1.2429332970531068,0
106,14,620956,169692,143760,3,9.345952572741133e-05,-0.1155422180654925,0.2880508907850808,0.8425275291290076,2
107,21,355376,247014,116760,22,0.0011000234701659,-0.5895040768569021,0.2605899298432751,-0.3422232346122673,8
108,14,632592,177396,143760,8,9.25523695187578e-05,-0.1122009796484867,0.1418450809982042,0.8519870302150367,2
109,2,684320,166944,57360,26,8.568164888095572e-05,0.6722710647923544,-1.5289330470862406,0.7932089142831993,9
110,2,668624,191282,186340,132,0.0001777783522043,0.824681850069163,-1.3369917447156636,-1.2274330767156223,1
111,11,529646,185168,38000,6,0.0002335774205568,-0.1644172072294404,-0.7271754544001529,0.983220551927899,9
112,17,478153,179783,201120,35,0.0038092212856843,-0.5143628601742674,1.2207482732414854,-0.2643797476140297,4
113,12,457770,140666,154400,8,8.770636652734088e-05,-0.3971903036786687,1.258225749674855,0.1009615517875873,4
114,8,645662,222706,204600,7,0.0003510328228229,-0.2301675182716123,0.4786440439429869,0.6006295535192843,8
115,25,585980,187484,173520,35,0.0019482200610988,0.881978644262736,-0.3441482286471729,-0.830030660900754,8
116,14,628858,166794,174520,15,9.27539426658918e-05,-0.0040385692148854,0.4461972712485421,0.4836693870288961,8
117,14,631560,176124,143760,6,9.390639837098972e-05,-0.1130316892113207,0.1743066491502667,0.8661350456608047,2
118,8,588876,163312,170000,16,0.0006827007496453,-0.6001398727869677,0.909515844983126,0.8556189563272082,5
119,11,453168,231004,203160,39,0.0004665872210249,0.4574871865983105,0.2384327563882919,-1.4673741186271525,0
120,14,633596,168228,143720,12,0.0001020880585724,-0.1677093444481694,0.2125946609955269,0.8900103739094029,2
121,1,533088,176128,187800,59,0.0008110064791262,0.2289388380157446,0.2495201118143499,-0.782738118673947,0
122,1,640850,273234,118560,60,0.000749413089533,-0.0811928356618456,-1.4484130546634102,0.4365563058107773,9
123,11,463608,197554,181840,7,0.0001454298439938,0.3725824356561034,0.5970206006997489,-0.8605044300555759,0
124,17,572712,163028,172920,7,0.0007041368539268,-0.2420104493332442,0.8497320122312847,0.474025002600167,8
125,19,578098,176498,186220,55,0.0029857995944763,-0.2942316616550571,0.4659251375068456,0.0264560157388472,8
126,3,384791,145733,120533,41,0.0001557059010249,0.4132466903700581,0.2497709827342157,-1.1924463232811509,0
127,3,383744,128184,109320,13,0.0001210965381223,-0.3062657960527326,0.9831403145155684,-0.1567807712071258,4
128,18,586768,296276,90800,15,0.0012050771664299,-0.537867196842298,-1.0841528426262212,1.1042272564700095,9
129,6,565800,158080,172880,2,0.0002801075798499,-0.1885845989804453,0.9221044218873428,0.4340880215800876,8
130,8,698313,134007,164867,21,0.0003696203259341,-0.1164513931575787,0.4230779495658821,1.049952754487122,8
131,12,464860,139816,168760,6,0.0001334086350542,-0.5683695884345004,1.527608537283563,0.2362082921266731,5
132,2,627762,216788,74940,18,0.0001600714965363,0.1150472652778083,-1.1594295063480442,0.895700584743614,9
133,34,398016,172704,76160,34,0.0063915283621153,0.9735128936570764,-0.7720337237542374,-1.3721521173166422,1
134,11,451440,232488,203160,16,0.0001662811495066,0.1588434030956917,0.6286768270166708,-0.986547383500954,0
135,7,445536,307488,55400,5,0.0001574233889711,0.7417497177578879,-1.8611417554674023,-0.6608758279644342,1
136,11,366981,172857,207760,11,0.0001916169083778,0.3213007906208171,1.3671571200869366,-1.5350507922049523,0
137,13,474144,115552,186840,5,0.0001002521601862,-0.0914651836813322,1.609817323742745,-0.2456780765925043,4
138,13,435412,167924,207560,5,9.142509676578468e-05,-0.1106699012647814,1.5292947356858098,-0.6569807576109482,4
139,18,596138,307632,87020,12,0.0008450632965785,-0.4832833743284623,-1.255010681936071,1.1404549547661942,9
140,21,406444,269388,107160,21,0.0007269723483613,-0.0164145090196263,-0.5320752553954594,-0.5652813489306303,8
141,1,466518,304716,215080,3,0.0001332465378621,2.0106423211900646,-0.9257446084928788,-2.765672712015748,1
142,3,416932,199078,217680,11,9.630482288822164e-05,-0.2562222104958866,1.4728134395872794,-0.7832635562331849,4
143,40,441794,189794,78280,36,0.0374164114167982,-0.4519348159418571,-0.0715449154141767,0.136700520487702,8
144,18,440260,296222,94900,24,0.0021286324942787,-0.2427492858542863,-0.8712835728780852,-0.1390405546451606,1
145,11,535974,144942,154540,24,0.0005102631922289,0.0549398497049557,0.5640923428333724,-0.0341637965519847,8
146,11,470816,184452,186800,13,0.000374185303782,-0.3387912974002467,1.1302420735698897,-0.1923117877740987,4
147,54,322220,140020,151400,6,0.0821794220340005,0.1769230769230766,1.482716066758697,-1.4100981820590706,0
148,11,457652,238732,210720,39,0.0003421272833354,0.1305801200701093,0.4486804813638652,-1.1817605573372505,0
149,19,434286,190062,80120,35,0.0003210302183963,0.4240299431445803,-0.6586574241199528,-0.6704741056463838,8
150,2,668712,222688,171680,29,0.0002558924018335,-0.2248961001251187,-0.1557009218806213,0.7453776141645814,8
151,6,588072,189384,173520,1,0.0005257614894523,-1.0333008995960615,1.1430658918378966,1.345149219821958,5
152,34,616616,197732,70960,13,0.0068362823757131,0.144061488510953,-0.9687791184254004,0.882298034402881,9
153,11,426962,159332,85680,35,0.0006553829628462,0.2033115863800009,-0.1820748140577792,-0.4906324006692207,8
154,6,494588,137312,174280,87,0.0007098056143826,0.6555207553200256,0.012354235502086,-1.525379288795985,0
155,5,610800,193016,60960,26,0.0002265447167515,0.5711297481138584,-1.4246897874916546,0.4055454341170067,9
156,27,595222,140984,162020,7,0.0013004418480208,0.4490944721901124,0.4145983223446911,0.0305977200175366,8
157,2,704384,177024,196400,53,0.0001543058274139,0.6729314833729267,-0.3944818151067979,-0.223980883416455,8
158,32,557312,112192,159400,1,0.0023031200741495,-0.5939142500630623,1.447831362989259,0.933672418277452,5
159,32,572880,162072,172920,4,0.0023031200741495,-0.0939142500630628,0.7955965863101111,0.3544973402560508,8
160,17,488544,160020,179480,0,0.0002529765832399,0.1807289416347809,0.9934059955203898,-0.4000770534332379,4
161,20,583263,125936,142907,7,0.0002861031685431,-0.1690491041268488,0.7501701189698362,0.7080663174748415,8
162,20,513458,331530,182960,15,0.0003388477751644,0.5710516331354927,-0.846174937643445,-1.0322731939519958,1
163,27,466628,126778,153700,12,0.0019196301622745,0.487128666803778,0.7527821759693911,-0.7240065981475164,0
164,2,673071,189441,195590,76,0.0004140726425027,0.4330948225302232,-0.4737850147755889,-0.3865491722685181,8
